model,bandit,seed,day,profit,served,arrivals,abandoned,balked,avg_wait_seconds,leftover_units,leftover_cost
models/best_ppo_bandit.zip,1,5,13,25.20,11,72,61,0,52.92,6,8.40
models/best_ppo_bandit.zip,1,5,14,20.70,10,66,56,0,59.09,7,10.20
models/best_ppo_bandit.zip,1,5,15,7.20,7,51,43,0,57.25,10,15.60
models/best_ppo_bandit.zip,1,5,16,25.20,11,67,53,0,45.07,6,8.40
models/best_ppo_bandit.zip,1,5,17,20.70,10,46,36,0,51.74,7,10.20
models/best_ppo_bandit.zip,1,5,18,25.20,11,64,53,0,51.72,6,8.40
models/best_ppo_bandit.zip,1,5,19,16.20,9,45,36,0,53.33,8,12.00
models/best_ppo_bandit.zip,1,6,0,25.20,11,65,54,0,51.85,6,8.40
models/best_ppo_bandit.zip,1,6,1,20.70,10,66,56,0,56.36,7,10.20
models/best_ppo_bandit.zip,1,6,2,11.70,8,60,52,0,56.50,9,13.80
models/best_ppo_bandit.zip,1,6,3,25.20,11,60,49,0,52.50,6,8.40
models/best_ppo_bandit.zip,1,6,4,16.20,9,60,51,0,54.83,8,12.00
models/best_ppo_bandit.zip,1,6,5,25.20,11,64,53,0,49.38,6,8.40
models/best_ppo_bandit.zip,1,6,6,11.70,8,49,41,0,49.18,9,13.80
models/best_ppo_bandit.zip,1,6,7,25.20,11,79,68,0,48.86,6,8.40
models/best_ppo_bandit.zip,1,6,8,25.20,11,55,44,0,52.18,6,8.40
models/best_ppo_bandit.zip,1,6,9,25.20,11,66,55,0,51.67,6,8.40
models/best_ppo_bandit.zip,1,6,10,25.20,11,59,47,0,51.02,6,8.40
models/best_ppo_bandit.zip,1,6,11,25.20,11,70,59,0,52.29,6,8.40
models/best_ppo_bandit.zip,1,6,12,20.70,10,49,39,0,50.20,7,10.20
models/best_ppo_bandit.zip,1,6,13,25.20,11,58,45,0,45.52,6,8.40
models/best_ppo_bandit.zip,1,6,14,25.20,11,55,44,0,49.45,6,8.40
models/best_ppo_bandit.zip,1,6,15,25.20,11,57,46,0,49.12,6,8.40
models/best_ppo_bandit.zip,1,6,16,25.20,11,69,57,0,55.36,6,8.40
models/best_ppo_bandit.zip,1,6,17,25.20,11,64,51,0,51.72,6,8.40
models/best_ppo_bandit.zip,1,6,18,11.70,8,41,33,0,52.68,9,13.80
models/best_ppo_bandit.zip,1,6,19,31.50,14,62,48,0,52.42,7,10.20
models/best_ppo_bandit.zip,1,7,0,25.20,11,66,53,0,46.06,6,8.40
models/best_ppo_bandit.zip,1,7,1,25.20,11,57,46,0,53.33,6,8.40
models/best_ppo_bandit.zip,1,7,2,25.20,11,56,45,0,45.18,6,8.40
models/best_ppo_bandit.zip,1,7,3,25.20,11,65,53,0,52.46,6,8.40
models/best_ppo_bandit.zip,1,7,4,25.20,11,67,55,0,52.69,6,8.40
models/best_ppo_bandit.zip,1,7,5,25.20,11,52,41,0,54.04,6,8.40
models/best_ppo_bandit.zip,1,7,6,25.20,11,57,45,0,54.74,6,8.40
models/best_ppo_bandit.zip,1,7,7,25.20,11,54,42,0,52.78,6,8.40
models/best_ppo_bandit.zip,1,7,8,25.20,11,78,67,0,52.95,6,8.40
models/best_ppo_bandit.zip,1,7,9,25.20,11,59,48,0,49.15,6,8.40
models/best_ppo_bandit.zip,1,7,10,25.20,11,69,58,0,50.58,6,8.40
models/best_ppo_bandit.zip,1,7,11,19.20,10,59,49,0,48.64,7,10.80
models/best_ppo_bandit.zip,1,7,12,20.70,10,60,50,0,56.00,7,10.20
models/best_ppo_bandit.zip,1,7,13,25.20,11,70,55,0,53.14,6,8.40
models/best_ppo_bandit.zip,1,7,14,25.20,11,52,41,0,49.04,6,8.40
models/best_ppo_bandit.zip,1,7,15,25.20,11,59,47,0,50.34,6,8.40
models/best_ppo_bandit.zip,1,7,16,20.70,10,76,65,0,56.97,7,10.20
models/best_ppo_bandit.zip,1,7,17,25.20,11,56,45,0,49.11,6,8.40
models/best_ppo_bandit.zip,1,7,18,25.20,11,66,55,0,51.97,6,8.40
models/best_ppo_bandit.zip,1,7,19,25.20,11,76,65,0,52.24,6,8.40
models/best_ppo_bandit.zip,1,8,0,25.20,11,51,40,0,52.55,6,8.40
models/best_ppo_bandit.zip,1,8,1,25.20,11,73,62,0,55.21,6,8.40
models/best_ppo_bandit.zip,1,8,2,25.20,11,62,50,0,52.58,6,8.40
models/best_ppo_bandit.zip,1,8,3,25.20,11,63,52,0,49.68,6,8.40
models/best_ppo_bandit.zip,1,8,4,25.20,11,70,59,0,54.43,6,8.40
models/best_ppo_bandit.zip,1,8,5,25.20,11,69,57,0,54.20,6,8.40
models/best_ppo_bandit.zip,1,8,6,25.20,11,63,52,0,49.37,6,8.40
models/best_ppo_bandit.zip,1,8,7,25.20,11,54,43,0,50.00,6,8.40
models/best_ppo_bandit.zip,1,8,8,20.70,10,60,50,0,55.00,7,10.20
models/best_ppo_bandit.zip,1,8,9,25.20,11,66,55,0,53.03,6,8.40
models/best_ppo_bandit.zip,1,8,10,25.20,11,57,46,0,53.33,6,8.40
models/best_ppo_bandit.zip,1,8,11,25.20,11,61,50,0,53.77,6,8.40
models/best_ppo_bandit.zip,1,8,12,16.20,9,53,44,0,53.21,8,12.00
models/best_ppo_bandit.zip,1,8,13,25.20,11,68,57,0,54.56,6,8.40
models/best_ppo_bandit.zip,1,8,14,25.20,11,67,56,0,54.93,6,8.40
models/best_ppo_bandit.zip,1,8,15,11.70,8,36,28,0,45.83,9,13.80
models/best_ppo_bandit.zip,1,8,16,25.20,11,68,56,0,47.50,6,8.40
models/best_ppo_bandit.zip,1,8,17,16.20,9,60,51,0,47.67,8,12.00
models/best_ppo_bandit.zip,1,8,18,12.70,9,47,37,0,51.91,8,13.40
models/best_ppo_bandit.zip,1,8,19,25.20,11,73,61,0,54.79,6,8.40
models/best_ppo_bandit.zip,1,9,0,25.20,11,71,59,0,54.08,6,8.40
models/best_ppo_bandit.zip,1,9,1,25.20,11,66,55,0,55.00,6,8.40
models/best_ppo_bandit.zip,1,9,2,25.20,11,58,45,0,46.21,6,8.40
models/best_ppo_bandit.zip,1,9,3,20.70,10,53,43,0,51.13,7,10.20
models/best_ppo_bandit.zip,1,9,4,16.20,9,66,57,0,55.15,8,12.00
models/best_ppo_bandit.zip,1,9,5,25.20,11,57,46,0,56.32,6,8.40
models/best_ppo_bandit.zip,1,9,6,25.20,11,55,44,0,49.09,6,8.40
models/best_ppo_bandit.zip,1,9,7,25.20,11,54,43,0,53.70,6,8.40
models/best_ppo_bandit.zip,1,9,8,25.20,11,56,45,0,52.50,6,8.40
models/best_ppo_bandit.zip,1,9,9,20.70,10,56,45,0,48.93,7,10.20
models/best_ppo_bandit.zip,1,9,10,25.20,11,53,42,0,50.75,6,8.40
models/best_ppo_bandit.zip,1,9,11,25.20,11,59,48,0,52.71,6,8.40
models/best_ppo_bandit.zip,1,9,12,25.20,11,58,47,0,53.28,6,8.40
models/best_ppo_bandit.zip,1,9,13,25.20,11,66,52,0,54.55,6,8.40
models/best_ppo_bandit.zip,1,9,14,25.20,11,57,46,0,50.35,6,8.40
models/best_ppo_bandit.zip,1,9,15,25.20,11,64,52,0,49.06,6,8.40
models/best_ppo_bandit.zip,1,9,16,20.70,10,62,51,0,51.61,7,10.20
models/best_ppo_bandit.zip,1,9,17,25.20,11,62,51,0,48.39,6,8.40
models/best_ppo_bandit.zip,1,9,18,25.20,11,67,55,0,56.72,6,8.40
models/best_ppo_bandit.zip,1,9,19,25.20,11,62,51,0,52.26,6,8.40
